Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000550
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Pressure [hPa];Batt Voltage [V];Logger Status
$;00:00:01;00:00:01;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;22.250;21.625;56.366;1010.380;9.6;66561
$;00:00:03;06:44:24;16.09.2020;N;NA;NA;NA;NA;NA;NA;NA;22.250;21.625;56.389;1010.270;9.5;66609
$;00:00:05;06:44:26;16.09.2020;N;NA;NA;NA;NA;NA;NA;NA;22.125;21.625;56.412;1010.400;9.5;66609
$;00:00:07;06:44:28;16.09.2020;N;NA;NA;NA;NA;NA;NA;NA;22.0;21.625;56.595;1010.299;9.5;66609
$;00:00:09;06:44:30;16.09.2020;N;NA;NA;NA;NA;NA;NA;NA;22.125;21.625;56.686;1010.419;9.5;66609
$;00:00:11;06:44:32;16.09.2020;N;NA;NA;NA;NA;NA;NA;NA;22.125;21.750;56.664;1010.210;9.5;66609
$;00:00:13;06:44:34;16.09.2020;Y;05;51 45.95439 N;014 19.37920 E;0.053;0.0;;75.5;22.125;21.500;56.587;1010.549;9.5;66679
$;00:00:15;06:44:36;16.09.2020;Y;05;51 45.95426 N;014 19.37914 E;0.603;1.1;225.08;76.6;22.125;21.625;56.335;1010.280;9.5;66679
$;00:00:17;06:44:38;16.09.2020;Y;05;51 45.95421 N;014 19.37858 E;0.435;0.8;;78.4;22.250;21.625;56.465;1010.359;9.5;66673
$;00:00:19;06:44:40;16.09.2020;Y;05;51 45.95436 N;014 19.37801 E;0.455;0.8;;79.4;22.375;21.625;56.419;1010.409;9.5;66673
$;00:00:21;06:44:42;16.09.2020;Y;05;51 45.95429 N;014 19.37770 E;0.266;0.4;;79.9;22.250;21.750;56.404;1010.320;9.5;66673
$;00:00:23;06:44:44;16.09.2020;Y;05;51 45.95440 N;014 19.37769 E;0.152;0.2;;79.8;22.375;21.625;56.343;1010.260;9.5;66673
$;00:00:25;06:44:46;16.09.2020;Y;05;51 45.95484 N;014 19.37797 E;0.086;0.1;;78.2;22.375;21.500;56.351;1010.280;9.5;66673
$;00:00:27;06:44:48;16.09.2020;Y;05;51 45.95502 N;014 19.37806 E;0.010;0.0;;77.7;22.375;21.625;56.358;1010.320;9.5;66679
$;00:00:29;06:44:50;16.09.2020;Y;05;51 45.95516 N;014 19.37832 E;0.045;0.0;;76.2;22.500;21.625;56.122;1010.280;9.5;66673
$;00:00:31;06:44:52;16.09.2020;Y;05;51 45.95516 N;014 19.37837 E;0.039;0.0;;76.1;22.375;21.750;56.168;1010.349;9.5;66679
$;00:00:33;06:44:54;16.09.2020;Y;06;51 45.95488 N;014 19.37852 E;0.106;0.1;;75.9;22.375;21.625;56.191;1010.469;9.4;66673
$;00:00:35;06:44:56;16.09.2020;Y;06;51 45.95472 N;014 19.37866 E;0.057;0.1;;75.4;22.500;21.500;56.328;1010.270;9.4;66673
$;00:00:37;06:44:58;16.09.2020;Y;06;51 45.95470 N;014 19.37884 E;0.038;0.0;;74.7;22.375;21.625;56.541;1010.330;9.4;66679
$;00:00:39;06:45:00;16.09.2020;Y;08;51 45.95481 N;014 19.37909 E;0.044;0.0;;73.4;22.500;21.625;56.564;1010.299;9.4;66673
$;00:00:41;06:45:02;16.09.2020;Y;08;51 45.95484 N;014 19.37915 E;0.036;0.0;;73.0;22.500;21.500;56.519;1010.340;9.4;66679
$;00:00:43;06:45:04;16.09.2020;Y;08;51 45.95494 N;014 19.37926 E;0.013;0.0;;72.4;22.625;21.625;56.488;1010.349;9.4;66679
$;00:00:45;06:45:06;16.09.2020;Y;09;51 45.95503 N;014 19.37925 E;0.051;0.0;;72.1;22.375;21.750;56.442;1010.330;9.4;66679
$;00:00:47;06:45:08;16.09.2020;Y;09;51 45.95499 N;014 19.37919 E;0.113;0.2;;72.3;22.625;21.500;56.313;1010.330;9.4;66679
$;00:00:49;06:45:10;16.09.2020;Y;09;51 45.95509 N;014 19.37928 E;0.094;0.1;;72.2;22.625;21.500;56.107;1010.330;9.4;66679
$;00:00:51;06:45:12;16.09.2020;Y;09;51 45.95502 N;014 19.37920 E;0.060;0.1;;72.9;22.500;21.500;56.53;1010.289;9.4;66679
$;00:00:53;06:45:14;16.09.2020;Y;09;51 45.95500 N;014 19.37912 E;0.113;0.2;;73.9;22.625;21.625;56.335;1010.469;9.4;66679
$;00:00:55;06:45:16;16.09.2020;Y;09;51 45.95506 N;014 19.37922 E;0.670;1.2;;74.7;22.625;21.500;56.122;1010.440;9.4;66679
$;00:00:57;06:45:18;16.09.2020;Y;09;51 45.95459 N;014 19.37914 E;0.161;0.2;;74.5;22.750;21.500;56.290;1010.270;9.4;66673
$;00:00:59;06:45:20;16.09.2020;Y;08;51 45.95444 N;014 19.37847 E;0.066;0.1;;74.0;22.625;21.500;56.38;1010.460;9.4;66673
$;00:01:01;06:45:22;16.09.2020;Y;09;51 45.95441 N;014 19.37822 E;0.052;0.0;;73.4;22.625;21.375;56.99;1010.330;9.4;66673
$;00:01:03;06:45:24;16.09.2020;Y;09;51 45.95448 N;014 19.37804 E;0.014;0.0;;72.8;22.625;21.625;56.99;1010.340;9.4;66673
$;00:01:05;06:45:26;16.09.2020;Y;09;51 45.95455 N;014 19.37799 E;0.084;0.1;;71.8;22.875;21.500;56.107;1010.369;9.4;66673
$;00:01:07;06:45:28;16.09.2020;Y;09;51 45.95465 N;014 19.37799 E;0.100;0.1;;71.1;22.625;21.625;56.152;1010.559;9.4;66679
$;00:01:09;06:45:30;16.09.2020;Y;09;51 45.95484 N;014 19.37798 E;0.135;0.2;;69.9;22.750;21.625;56.137;1010.390;9.4;66673
$;00:01:11;06:45:32;16.09.2020;Y;09;51 45.95498 N;014 19.37803 E;0.011;0.0;;69.2;22.750;21.375;55.946;1010.440;9.4;66679
$;00:01:13;06:45:34;16.09.2020;Y;09;51 45.95512 N;014 19.37818 E;0.523;0.9;;68.1;22.750;21.500;55.733;1010.440;9.4;66673
$;00:01:15;06:45:36;16.09.2020;Y;09;51 45.95501 N;014 19.37831 E;0.303;0.5;;68.6;22.750;21.500;56.831;1010.309;9.4;66679
$;00:01:17;06:45:38;16.09.2020;Y;09;51 45.95504 N;014 19.37733 E;0.251;0.4;;71.6;22.750;21.625;56.862;1010.380;9.4;66673
$;00:01:19;06:45:40;16.09.2020;Y;09;51 45.95486 N;014 19.37755 E;0.044;0.0;;72.1;22.875;21.625;56.854;1010.380;9.4;66673
$;00:01:21;06:45:42;16.09.2020;Y;09;51 45.95501 N;014 19.37828 E;0.198;0.3;;71.8;22.875;21.625;56.747;1010.440;9.4;66673
$;00:01:23;06:45:44;16.09.2020;Y;09;51 45.95506 N;014 19.37830 E;0.094;0.1;;72.3;22.875;21.625;56.557;1010.270;9.3;66673
$;00:01:25;06:45:46;16.09.2020;Y;09;51 45.95529 N;014 19.37866 E;1.810;3.3;;72.2;23.0;21.375;56.480;1010.440;9.3;66673
$;00:01:27;06:45:48;16.09.2020;Y;08;51 45.95475 N;014 19.38071 E;0.127;0.2;;71.7;22.875;21.625;56.435;1010.530;9.3;66673
$;00:01:29;06:45:50;16.09.2020;Y;09;51 45.95467 N;014 19.38014 E;0.196;0.3;;72.7;22.875;21.625;56.519;1010.340;9.3;66673
$;00:01:31;06:45:52;16.09.2020;Y;09;51 45.95471 N;014 19.37926 E;0.386;0.7;;73.9;23.0;21.500;56.580;1010.260;9.3;66673
$;00:01:33;06:45:54;16.09.2020;Y;09;51 45.95460 N;014 19.37872 E;1.244;2.3;;74.4;23.125;21.625;56.603;1010.500;9.3;66673
$;00:01:35;06:45:56;16.09.2020;Y;07;51 45.95460 N;014 19.37800 E;0.152;0.2;;74.6;23.125;21.500;56.572;1010.469;9.3;66673
$;00:01:37;06:45:58;16.09.2020;Y;09;51 45.95455 N;014 19.37750 E;0.247;0.4;;74.6;23.375;21.625;56.786;1010.280;9.3;66673
$;00:01:39;06:46:00;16.09.2020;Y;09;51 45.95475 N;014 19.37716 E;0.059;0.1;;75.3;23.250;21.625;56.679;1010.429;9.3;66673
$;00:01:41;06:46:02;16.09.2020;Y;09;51 45.95492 N;014 19.37716 E;0.216;0.4;;75.4;23.250;21.625;56.679;1010.299;9.3;66673
$;00:01:43;06:46:04;16.09.2020;Y;09;51 45.95528 N;014 19.37674 E;0.009;0.0;;75.3;23.625;21.500;56.732;1010.270;9.3;66673
$;00:01:45;06:46:06;16.09.2020;Y;09;51 45.95544 N;014 19.37663 E;0.065;0.1;;74.7;23.750;21.375;56.862;1010.309;9.3;66673
$;00:01:47;06:46:08;16.09.2020;Y;09;51 45.95546 N;014 19.37682 E;0.057;0.1;;74.6;23.750;21.500;56.908;1010.309;9.3;66673
$;00:01:49;06:46:10;16.09.2020;Y;09;51 45.95545 N;014 19.37695 E;0.048;0.0;;74.5;23.750;21.500;56.900;1010.299;9.3;66673
$;00:01:51;06:46:12;16.09.2020;Y;09;51 45.95540 N;014 19.37714 E;0.025;0.0;;74.6;23.875;21.500;56.969;1010.190;9.3;66673
$;00:01:53;06:46:14;16.09.2020;Y;09;51 45.95535 N;014 19.37723 E;0.053;0.0;;74.7;24.0;21.625;56.854;1010.229;9.2;66673
$;00:01:55;06:46:16;16.09.2020;Y;09;51 45.95539 N;014 19.37722 E;0.189;0.3;;75.2;24.0;21.375;56.732;1010.280;9.3;66673
$;00:01:57;06:46:18;16.09.2020;Y;09;51 45.95539 N;014 19.37742 E;0.141;0.2;;75.9;24.0;21.625;56.526;1010.280;9.3;66673
$;00:01:59;06:46:20;16.09.2020;Y;09;51 45.95531 N;014 19.37771 E;0.376;0.6;;75.5;24.375;21.375;56.511;1010.380;9.3;66673
$;00:02:01;06:46:22;16.09.2020;Y;09;51 45.95552 N;014 19.37802 E;0.254;0.4;;73.4;24.375;21.500;56.519;1010.309;9.3;66673
$;00:02:03;06:46:24;16.09.2020;Y;09;51 45.95561 N;014 19.37815 E;0.164;0.3;;72.4;24.375;21.500;56.473;1010.359;9.3;66673
$;00:02:05;06:46:26;16.09.2020;Y;09;51 45.95573 N;014 19.37837 E;0.295;0.5;;71.5;24.250;21.375;56.450;1010.369;9.2;66673
$;00:02:07;06:46:28;16.09.2020;Y;09;51 45.95588 N;014 19.37852 E;0.098;0.1;;71.5;24.375;21.625;56.412;1010.280;9.3;66673
$;00:02:09;06:46:30;16.09.2020;Y;09;51 45.95616 N;014 19.37839 E;0.076;0.1;;71.1;24.375;21.375;56.427;1010.340;9.2;66673
$;00:02:11;06:46:32;16.09.2020;Y;09;51 45.95646 N;014 19.37852 E;0.131;0.2;;70.4;24.375;21.500;56.366;1010.440;9.2;66673
$;00:02:13;06:46:34;16.09.2020;Y;09;51 45.95633 N;014 19.37831 E;0.173;0.3;;70.5;24.375;21.500;56.442;1010.429;9.2;66673
$;00:02:15;06:46:36;16.09.2020;Y;09;51 45.95636 N;014 19.37842 E;0.144;0.2;;70.7;24.500;21.500;56.648;1010.330;9.2;66673
$;00:02:17;06:46:38;16.09.2020;Y;09;51 45.95624 N;014 19.37868 E;0.284;0.5;;70.5;24.375;21.625;56.725;1010.320;9.2;66673
$;00:02:19;06:46:40;16.09.2020;Y;09;51 45.95653 N;014 19.37891 E;0.210;0.3;;71.0;24.500;21.500;56.84;1010.299;9.2;66673
$;00:02:21;06:46:42;16.09.2020;Y;09;51 45.95656 N;014 19.37896 E;0.339;0.6;;71.4;24.625;21.500;56.999;1010.359;9.2;66673
$;00:02:23;06:46:44;16.09.2020;Y;09;51 45.95548 N;014 19.37898 E;2.110;3.9;;69.7;24.625;21.500;56.839;1010.299;9.2;66673
$;00:02:25;06:46:46;16.09.2020;Y;09;51 45.95542 N;014 19.37912 E;0.846;1.5;;68.9;24.750;21.625;56.816;1010.260;9.2;66673
$;00:02:27;06:46:48;16.09.2020;Y;09;51 45.95604 N;014 19.38042 E;0.390;0.7;;69.9;24.875;21.500;56.526;1010.200;9.2;66673
$;00:02:29;06:46:50;16.09.2020;Y;09;51 45.95636 N;014 19.38031 E;0.356;0.6;;70.5;24.750;21.375;56.328;1010.119;9.2;66673
$;00:02:31;06:46:52;16.09.2020;Y;10;51 45.95632 N;014 19.38017 E;1.252;2.3;;70.4;24.750;21.500;56.274;1010.299;9.2;66673
$;00:02:33;06:46:54;16.09.2020;Y;09;51 45.95613 N;014 19.37975 E;0.162;0.3;;71.7;24.750;21.500;56.160;1010.469;9.2;66673
$;00:02:35;06:46:56;16.09.2020;Y;10;51 45.95631 N;014 19.37991 E;0.315;0.5;;72.2;24.750;21.500;56.122;1010.280;9.2;66673
$;00:02:37;06:46:58;16.09.2020;Y;10;51 45.95637 N;014 19.37985 E;0.359;0.6;;71.3;24.750;21.500;56.122;1010.369;9.2;66673
$;00:02:39;06:47:00;16.09.2020;Y;10;51 45.95656 N;014 19.37989 E;0.244;0.4;;71.1;24.750;21.500;56.91;1010.380;9.2;66673
$;00:02:41;06:47:02;16.09.2020;Y;10;51 45.95663 N;014 19.37995 E;0.306;0.5;;70.7;24.750;21.375;56.46;1010.369;9.2;66673
$;00:02:43;06:47:04;16.09.2020;Y;10;51 45.95670 N;014 19.38027 E;0.281;0.5;;70.6;24.875;21.375;56.114;1010.369;9.2;66673
$;00:02:45;06:47:06;16.09.2020;Y;10;51 45.95670 N;014 19.38027 E;0.181;0.3;;70.1;24.750;21.250;56.229;1010.260;9.2;66673
$;00:02:47;06:47:08;16.09.2020;Y;10;51 45.95685 N;014 19.38012 E;0.318;0.5;;70.7;24.625;21.375;56.458;1010.369;9.2;66673
$;00:02:49;06:47:10;16.09.2020;Y;10;51 45.95678 N;014 19.38000 E;0.202;0.3;;71.4;24.625;21.500;56.610;1010.359;9.2;66673
$;00:02:51;06:47:12;16.09.2020;Y;10;51 45.95698 N;014 19.38009 E;0.996;1.8;;69.4;24.875;21.250;56.747;1010.520;9.2;66673
$;00:02:53;06:47:14;16.09.2020;Y;10;51 45.95713 N;014 19.37981 E;0.412;0.7;;68.6;24.875;21.375;57.182;1010.400;9.2;66673
$;00:02:55;06:47:16;16.09.2020;Y;10;51 45.95731 N;014 19.38009 E;1.283;2.3;;69.7;24.875;21.500;57.388;1010.320;9.2;66673
$;00:02:57;06:47:18;16.09.2020;Y;08;51 45.95708 N;014 19.38020 E;0.669;1.2;;71.6;24.875;21.375;57.297;1010.210;9.2;66673
$;00:02:59;06:47:20;16.09.2020;Y;08;51 45.95689 N;014 19.37974 E;1.058;1.9;;73.9;24.750;21.500;57.114;1010.390;9.2;66673
$;00:03:01;06:47:22;16.09.2020;Y;09;51 45.95618 N;014 19.37951 E;1.443;2.6;202.28;75.7;24.750;21.625;57.83;1010.400;9.2;66673
$;00:03:03;06:47:24;16.09.2020;Y;08;51 45.95591 N;014 19.37955 E;0.352;0.6;;76.2;24.875;21.625;56.816;1010.299;9.2;66673
$;00:03:05;06:47:26;16.09.2020;Y;08;51 45.95594 N;014 19.37942 E;1.577;2.9;;76.3;24.875;21.625;56.252;1010.299;9.2;66673
$;00:03:07;06:47:28;16.09.2020;Y;09;51 45.95631 N;014 19.37975 E;0.585;1.0;;74.6;24.750;21.500;56.358;1010.469;9.2;66673
$;00:03:09;06:47:30;16.09.2020;Y;09;51 45.95638 N;014 19.37948 E;0.131;0.2;;74.0;24.875;21.500;56.381;1010.309;9.2;66673
$;00:03:11;06:47:32;16.09.2020;Y;09;51 45.95665 N;014 19.37950 E;0.267;0.4;;72.2;24.875;21.375;56.412;1010.340;9.2;66673
$;00:03:13;06:47:34;16.09.2020;Y;09;51 45.95660 N;014 19.37953 E;0.334;0.6;;72.0;24.750;21.500;56.435;1010.289;9.2;66673
$;00:03:15;06:47:36;16.09.2020;Y;09;51 45.95664 N;014 19.37946 E;0.049;0.0;;71.9;24.750;21.500;56.450;1010.469;9.2;66673
$;00:03:17;06:47:38;16.09.2020;Y;09;51 45.95644 N;014 19.37926 E;0.255;0.4;;72.1;24.750;21.500;56.442;1010.239;9.2;66673
$;00:03:19;06:47:40;16.09.2020;Y;09;51 45.95615 N;014 19.37909 E;0.215;0.3;;72.9;25.0;21.500;56.397;1010.369;9.2;66673
$;00:03:21;06:47:42;16.09.2020;Y;09;51 45.95608 N;014 19.37898 E;0.215;0.3;;73.5;25.0;21.500;56.427;1010.340;9.2;66673
$;00:03:23;06:47:44;16.09.2020;Y;09;51 45.95600 N;014 19.37910 E;0.130;0.2;;73.5;25.0;21.500;56.549;1010.429;9.1;66673
$;00:03:25;06:47:46;16.09.2020;Y;10;51 45.95594 N;014 19.37895 E;0.155;0.2;;72.6;24.875;21.500;56.603;1010.429;9.1;66673
$;00:03:27;06:47:48;16.09.2020;Y;10;51 45.95580 N;014 19.37890 E;0.172;0.3;;72.2;25.0;21.500;56.854;1010.400;9.2;66673
$;00:03:29;06:47:50;16.09.2020;Y;09;51 45.95577 N;014 19.37889 E;0.184;0.3;;70.7;24.875;21.250;57.30;1010.299;9.1;66673
$;00:03:31;06:47:52;16.09.2020;Y;09;51 45.95584 N;014 19.37818 E;0.632;1.1;;69.9;24.875;21.375;56.877;1010.280;9.1;66673
$;00:03:33;06:47:54;16.09.2020;Y;09;51 45.95567 N;014 19.37829 E;0.042;0.0;;69.6;24.875;21.500;56.747;1010.380;9.1;66673
$;00:03:35;06:47:56;16.09.2020;Y;09;51 45.95574 N;014 19.37848 E;0.288;0.5;;68.6;24.750;21.500;56.740;1010.229;9.1;66673
$;00:03:37;06:47:58;16.09.2020;Y;09;51 45.95591 N;014 19.37832 E;0.065;0.1;;67.6;24.875;21.500;56.694;1010.450;9.1;66673
$;00:03:39;06:48:00;16.09.2020;Y;09;51 45.95615 N;014 19.37853 E;0.577;1.0;;66.8;24.750;21.500;56.633;1010.559;9.1;66673
$;00:03:41;06:48:02;16.09.2020;Y;09;51 45.95642 N;014 19.37835 E;0.030;0.0;;66.6;24.875;21.625;56.564;1010.320;9.1;66673
$;00:03:43;06:48:04;16.09.2020;Y;09;51 45.95660 N;014 19.37814 E;0.581;1.0;;67.3;25.0;21.375;56.534;1010.440;9.1;66673
$;00:03:45;06:48:06;16.09.2020;Y;09;51 45.95656 N;014 19.37816 E;0.343;0.6;;66.7;24.875;21.500;56.603;1010.369;9.1;66673
$;00:03:47;06:48:08;16.09.2020;Y;09;51 45.95620 N;014 19.37834 E;0.406;0.7;;65.1;25.125;21.500;56.778;1010.289;9.1;66673
$;00:03:49;06:48:10;16.09.2020;Y;09;51 45.95571 N;014 19.37877 E;0.447;0.8;;63.8;25.0;21.625;57.159;1010.400;9.1;66673
$;00:03:51;06:48:12;16.09.2020;Y;09;51 45.95580 N;014 19.37880 E;1.532;2.8;;65.3;25.125;21.500;56.702;1010.280;9.1;66673
$;00:03:53;06:48:14;16.09.2020;Y;09;51 45.95597 N;014 19.38000 E;1.196;2.2;;68.3;25.0;21.500;56.747;1010.190;9.1;66673
$;00:03:55;06:48:16;16.09.2020;Y;09;51 45.95573 N;014 19.38035 E;0.425;0.7;;66.8;25.0;21.500;56.877;1010.390;9.1;66673
$;00:03:57;06:48:18;16.09.2020;Y;10;51 45.95529 N;014 19.38050 E;0.339;0.6;;66.3;25.0;21.500;57.7;1010.419;9.1;66673
$;00:03:59;06:48:20;16.09.2020;Y;10;51 45.95492 N;014 19.38039 E;0.366;0.6;;68.1;25.0;21.500;57.60;1010.429;9.1;66673
$;00:04:01;06:48:22;16.09.2020;Y;10;51 45.95521 N;014 19.38050 E;0.049;0.0;;71.6;25.0;21.500;56.969;1010.419;9.1;66673
$;00:04:03;06:48:24;16.09.2020;Y;10;51 45.95495 N;014 19.38036 E;0.248;0.4;;73.1;25.0;21.500;56.816;1010.359;9.1;66673
$;00:04:05;06:48:26;16.09.2020;Y;10;51 45.95481 N;014 19.38044 E;0.192;0.3;;74.2;25.125;21.625;56.709;1010.549;9.1;66673
$;00:04:07;06:48:28;16.09.2020;Y;10;51 45.95474 N;014 19.38002 E;0.108;0.2;;76.1;25.125;21.500;56.709;1010.450;9.1;66673
$;00:04:09;06:48:30;16.09.2020;Y;10;51 45.95456 N;014 19.38005 E;0.520;0.9;;75.9;25.0;21.625;56.877;1010.400;9.1;66673
$;00:04:11;06:48:32;16.09.2020;Y;09;51 45.95452 N;014 19.37974 E;0.178;0.3;;76.2;25.125;21.500;57.121;1010.289;9.1;66673
$;00:04:13;06:48:34;16.09.2020;Y;09;51 45.95459 N;014 19.38006 E;0.213;0.3;;76.8;25.125;21.625;57.37;1010.429;9.1;66673
$;00:04:15;06:48:36;16.09.2020;Y;09;51 45.95466 N;014 19.38004 E;1.653;3.0;75.17;77.1;25.125;21.500;57.22;1010.429;9.1;66673
$;00:04:17;06:48:38;16.09.2020;Y;09;51 45.95486 N;014 19.38022 E;0.323;0.5;;77.1;25.250;21.625;57.22;1010.219;9.1;66673
$;00:04:19;06:48:40;16.09.2020;Y;09;51 45.95464 N;014 19.37988 E;0.176;0.3;;77.2;25.125;21.500;57.7;1010.359;9.1;66673
$;00:04:21;06:48:42;16.09.2020;Y;09;51 45.95455 N;014 19.37961 E;0.289;0.5;;77.1;25.375;21.625;56.992;1010.260;9.1;66673
$;00:04:23;06:48:44;16.09.2020;Y;09;51 45.95448 N;014 19.37939 E;0.404;0.7;;76.6;25.125;21.500;56.847;1010.349;9.1;66673
$;00:04:25;06:48:46;16.09.2020;Y;09;51 45.95447 N;014 19.37928 E;0.495;0.9;;77.7;25.250;21.625;56.686;1010.390;9.1;66673
$;00:04:27;06:48:48;16.09.2020;Y;09;51 45.95477 N;014 19.37887 E;4.123;7.6;354.94;75.8;25.125;21.625;56.725;1010.349;9.1;66673
$;00:04:29;06:48:50;16.09.2020;Y;09;51 45.95457 N;014 19.37814 E;0.185;0.3;;76.2;25.500;21.625;56.610;1010.229;9.1;66673
$;00:04:31;06:48:52;16.09.2020;Y;09;51 45.95467 N;014 19.37851 E;0.063;0.1;;77.0;25.125;21.625;56.656;1010.419;9.1;66673
$;00:04:33;06:48:54;16.09.2020;Y;09;51 45.95449 N;014 19.37863 E;0.027;0.0;;77.9;25.250;21.625;56.610;1010.289;9.1;66673
$;00:04:35;06:48:56;16.09.2020;Y;09;51 45.95435 N;014 19.37864 E;0.162;0.3;;78.8;25.250;21.625;56.534;1010.340;9.1;66673
$;00:04:37;06:48:58;16.09.2020;Y;09;51 45.95411 N;014 19.37882 E;0.194;0.3;;79.7;25.125;21.750;56.564;1010.320;9.1;66673
$;00:04:39;06:49:00;16.09.2020;Y;09;51 45.95403 N;014 19.37875 E;0.040;0.0;;80.3;25.250;21.500;56.572;1010.320;9.1;66673
$;00:04:41;06:49:02;16.09.2020;Y;10;51 45.95369 N;014 19.37844 E;0.504;0.9;;80.5;25.250;21.625;56.816;1010.340;9.1;66673
$;00:04:43;06:49:04;16.09.2020;Y;10;51 45.95345 N;014 19.37785 E;0.273;0.5;;80.6;25.250;21.625;56.885;1010.200;9.1;66673
$;00:04:45;06:49:06;16.09.2020;Y;09;51 45.95343 N;014 19.37778 E;0.547;1.0;;79.8;25.375;21.625;56.839;1010.479;9.1;66673
$;00:04:47;06:49:08;16.09.2020;Y;09;51 45.95364 N;014 19.37777 E;1.319;2.4;;78.4;25.375;21.625;56.641;1010.380;9.1;66673
$;00:04:49;06:49:10;16.09.2020;Y;09;51 45.95380 N;014 19.37815 E;0.323;0.5;;78.8;25.250;21.750;56.664;1010.390;9.1;66673
$;00:04:51;06:49:12;16.09.2020;Y;09;51 45.95400 N;014 19.37798 E;0.121;0.2;;79.4;25.375;21.625;56.717;1010.479;9.1;66673
$;00:04:53;06:49:14;16.09.2020;Y;09;51 45.95393 N;014 19.37789 E;0.641;1.1;;80.2;25.125;21.625;56.908;1010.210;9.1;66673
$;00:04:55;06:49:16;16.09.2020;Y;09;51 45.95411 N;014 19.37769 E;0.280;0.5;;79.5;25.500;21.625;56.976;1010.469;9.1;66673
$;00:04:57;06:49:18;16.09.2020;Y;09;51 45.95430 N;014 19.37823 E;0.079;0.1;;78.3;25.375;21.500;57.37;1010.359;9.1;66673
$;00:04:59;06:49:20;16.09.2020;Y;09;51 45.95457 N;014 19.37868 E;0.364;0.6;;77.6;25.125;21.625;57.14;1010.380;9.1;66673
$;00:05:01;06:49:22;16.09.2020;Y;09;51 45.95502 N;014 19.37844 E;1.671;3.0;;77.9;25.375;21.750;57.228;1010.330;9.1;66673
$;00:05:03;06:49:24;16.09.2020;Y;09;51 45.95516 N;014 19.37783 E;0.461;0.8;;78.0;25.125;21.625;57.396;1010.460;9.1;66673
$;00:05:05;06:49:26;16.09.2020;Y;09;51 45.95528 N;014 19.37843 E;0.271;0.5;;76.8;25.250;21.750;57.549;1010.320;9.1;66673
$;00:05:07;06:49:28;16.09.2020;Y;09;51 45.95537 N;014 19.37864 E;0.812;1.5;;76.4;25.375;21.750;57.495;1010.460;9.1;66673
$;00:05:09;06:49:30;16.09.2020;Y;09;51 45.95549 N;014 19.37896 E;0.181;0.3;;75.6;25.125;21.625;57.282;1010.349;9.1;66673
$;00:05:11;06:49:32;16.09.2020;Y;09;51 45.95552 N;014 19.37834 E;0.457;0.8;;74.8;25.375;21.750;57.121;1010.239;9.1;66673
$;00:05:13;06:49:34;16.09.2020;Y;09;51 45.95555 N;014 19.37834 E;0.338;0.6;;74.3;25.250;21.750;56.831;1010.409;9.1;66673
$;00:05:15;06:49:36;16.09.2020;Y;09;51 45.95520 N;014 19.37771 E;0.656;1.2;;75.7;25.375;21.750;56.824;1010.159;9.1;66673
$;00:05:17;06:49:38;16.09.2020;Y;09;51 45.95517 N;014 19.37785 E;0.054;0.1;;76.3;25.500;21.750;56.953;1010.349;9.1;66673
$;00:05:19;06:49:40;16.09.2020;Y;09;51 45.95542 N;014 19.37813 E;0.719;1.3;;75.7;25.500;21.750;56.740;1010.349;9.1;66673
$;00:05:21;06:49:42;16.09.2020;Y;09;51 45.95524 N;014 19.37798 E;0.428;0.7;;76.1;25.250;21.750;56.412;1010.349;9.1;66673
$;00:05:23;06:49:44;16.09.2020;Y;08;51 45.95489 N;014 19.37801 E;0.661;1.2;;77.5;25.250;21.500;56.351;1010.390;9.1;66673
$;00:05:25;06:49:46;16.09.2020;Y;09;51 45.95519 N;014 19.37784 E;0.587;1.0;;77.3;25.125;21.625;56.313;1010.390;9.0;66673
$;00:05:27;06:49:48;16.09.2020;Y;09;51 45.95474 N;014 19.37764 E;1.112;2.0;;77.6;25.375;21.500;56.763;1010.409;9.0;66673
$;00:05:29;06:49:50;16.09.2020;Y;09;51 45.95515 N;014 19.37822 E;0.213;0.3;;75.9;25.250;21.750;56.885;1010.409;9.1;66673
$;00:05:31;06:49:52;16.09.2020;Y;09;51 45.95536 N;014 19.37865 E;0.037;0.0;;74.2;25.250;21.625;56.938;1010.349;9.0;66673
$;00:05:33;06:49:54;16.09.2020;Y;09;51 45.95544 N;014 19.37921 E;0.423;0.7;;72.8;25.500;21.625;56.717;1010.340;9.0;66673
$;00:05:35;06:49:56;16.09.2020;Y;10;51 45.95529 N;014 19.37881 E;0.176;0.3;;73.1;25.500;21.750;56.664;1010.500;9.0;66673
$;00:05:37;06:49:58;16.09.2020;Y;09;51 45.95551 N;014 19.37886 E;0.284;0.5;;72.5;25.250;21.750;56.656;1010.330;9.1;66673
$;00:05:39;06:50:00;16.09.2020;Y;09;51 45.95558 N;014 19.37871 E;0.078;0.1;;71.4;25.500;21.625;56.587;1010.409;9.0;66673
$;00:05:41;06:50:02;16.09.2020;Y;09;51 45.95584 N;014 19.37862 E;0.143;0.2;;69.9;25.250;21.750;56.488;1010.359;9.0;66673
